area,rooms,floor,total_floors,minutes_to_metro,floor_ratio,is_first_floor,is_last_floor,is_studio,log_area,metro_station,renovation
78.9,3.0,4.0,5,18.0,0.8,0,0,0,4.380775852772229,Профсоюзная,Cosmetic
310.0,6.0,2.0,17,10.0,0.1176470588235294,0,0,0,5.739792912179234,Фрунзенская,Designer
107.8,3.0,31.0,34,9.0,0.9117647058823528,0,0,0,4.689511334421843,Калужская,Without renovation
19.9,0.0,11.0,33,9.0,0.3333333333333333,0,0,1,3.039749158970765,Озёрная,Cosmetic
85.0,2.0,10.0,28,25.0,0.3571428571428571,0,0,0,4.454347296253507,ЗИЛ,European-style renovation
50.0,2.0,2.0,10,9.0,0.2,0,0,0,3.9318256327243257,Проспект Вернадского,European-style renovation
68.0,2.0,6.0,16,16.0,0.375,0,0,0,4.23410650459726,Давыдково,European-style renovation
20.3,0.0,2.0,5,5.0,0.4,0,0,1,3.05870707271538,Окружная,Cosmetic
165.7,4.0,2.0,6,4.0,0.3333333333333333,0,0,0,5.116195789756748,Смоленская,Designer
153.6,5.0,64.0,67,9.0,0.9552238805970148,0,0,0,5.040841136153322,Выставочная,Designer
35.7,1.0,5.0,12,19.0,0.4166666666666667,0,0,0,3.6027767550605247,Перово,Cosmetic
84.3,3.0,19.0,32,10.0,0.59375,0,0,0,4.446174454497633,Мичуринский проспект,Without renovation
103.2,6.0,3.0,6,4.0,0.5,0,0,0,4.646312129319266,Маяковская,Cosmetic
36.2,1.0,13.0,41,8.0,0.3170731707317073,0,0,0,3.616308761279101,Лужники,European-style renovation
103.2,5.0,2.0,6,3.0,0.3333333333333333,0,0,0,4.646312129319266,Маяковская,Without renovation
45.2,1.0,18.0,25,9.0,0.72,0,0,0,3.832979798087693,Некрасовка,Designer
98.0,4.0,7.0,31,8.0,0.2258064516129032,0,0,0,4.59511985013459,Фили,Without renovation
71.0,3.0,22.0,46,4.0,0.4782608695652174,0,0,0,4.276666119016055,Фили,Without renovation
92.5,4.0,28.0,34,8.0,0.8235294117647058,0,0,0,4.537961436294641,Калужская,European-style renovation
100.0,4.0,4.0,11,15.0,0.3636363636363636,0,0,0,4.61512051684126,Университет,European-style renovation
27.6,0.0,9.0,18,18.0,0.5,0,0,1,3.353406717825807,Павелецкая,Without renovation
77.0,2.0,9.0,50,12.0,0.18,0,0,0,4.356708826689592,Мичуринский проспект,Without renovation
58.3,2.0,7.0,12,31.0,0.5833333333333334,0,0,0,4.08260930600368,Люблино,Cosmetic
380.0,5.0,3.0,4,11.0,0.75,0,0,0,5.942799375126701,Фрунзенская,European-style renovation
37.5,2.0,2.0,14,7.0,0.1428571428571428,0,0,0,3.6506582412937383,Гражданская,Without renovation
250.0,4.0,16.0,17,34.0,0.9411764705882352,0,0,0,5.525452939131784,Минская,Without renovation
20.0,0.0,2.0,17,8.0,0.1176470588235294,0,0,1,3.044522437723423,Некрасовка,European-style renovation
154.0,4.0,12.0,22,10.0,0.5454545454545454,0,0,0,5.043425116919247,Улица 1905 года,European-style renovation
131.1,4.0,2.0,17,9.0,0.1176470588235294,0,0,0,4.883559211528279,Серпуховская,Designer
63.8,2.0,18.0,25,19.0,0.72,0,0,0,4.1713056033582285,Некрасовка,Cosmetic
65.0,2.0,1.0,16,7.0,0.0625,1,0,0,4.189654742026425,Ясенево,Without renovation
76.3,2.0,9.0,28,10.0,0.3214285714285714,0,0,0,4.3476939555933765,Измайловская,European-style renovation
21.9,0.0,2.0,4,12.0,0.5,0,0,1,3.131136910560194,Речной вокзал,Cosmetic
105.0,4.0,17.0,18,32.0,0.9444444444444444,0,0,0,4.663439094112067,Покровское,European-style renovation
38.7,2.0,9.0,12,14.0,0.75,0,0,0,3.681351187693145,Кузьминки,Without renovation
58.0,2.0,16.0,24,20.0,0.6666666666666666,0,0,0,4.07753744390572,Рассказовка,Designer
53.3,2.0,3.0,14,12.0,0.2142857142857142,0,0,0,3.9945242269398897,Молодежная,Cosmetic
51.7,2.0,10.0,14,7.0,0.7142857142857143,0,0,0,3.964615455547317,Лухмановская,European-style renovation
77.8,3.0,5.0,22,9.0,0.2272727272727272,0,0,0,4.366912996863833,Бульвар Рокоссовского,Without renovation
58.5,2.0,3.0,24,8.0,0.125,0,0,0,4.085976312551584,Ботанический сад,European-style renovation
11.7,0.0,1.0,9,14.0,0.1111111111111111,1,0,1,2.5416019934645457,Планерная,European-style renovation
125.4,5.0,3.0,25,12.0,0.12,0,0,0,4.839451481712757,Юго-Западная,Without renovation
60.5,2.0,5.0,25,17.0,0.2,0,0,0,4.119037174812473,Павшино,European-style renovation
61.0,2.0,4.0,24,5.0,0.1666666666666666,0,0,0,4.127134385045092,Волгоградский проспект,European-style renovation
63.0,3.0,12.0,27,11.0,0.4444444444444444,0,0,0,4.158883083359672,Алексеевская,Without renovation
49.3,1.0,3.0,16,26.0,0.1875,0,0,0,3.918005077105693,Коммунарка,Cosmetic
84.0,3.0,18.0,18,21.0,1.0,0,1,0,4.442651256490317,Крылатское,European-style renovation
75.7,3.0,11.0,16,12.0,0.6875,0,0,0,4.33990170837321,Тропарево,Without renovation
85.8,3.0,20.0,25,27.0,0.8,0,0,0,4.463606621666305,Бабушкинская,European-style renovation
31.7,0.0,1.0,4,12.0,0.25,1,0,1,3.487375077903208,Преображенская площадь,Designer
23.2,0.0,4.0,22,19.0,0.1818181818181818,0,0,1,3.186352633162641,Саларьево,Cosmetic
46.0,1.0,4.0,43,11.0,0.0930232558139534,0,0,0,3.8501476017100575,ЗИЛ,Without renovation
128.7,5.0,33.0,33,17.0,1.0,0,1,0,4.865224091322398,Павелецкая,Without renovation
84.5,3.0,15.0,32,10.0,0.46875,0,0,0,4.448516375942715,Парк Победы,European-style renovation
11.8,0.0,1.0,3,12.0,0.3333333333333333,1,0,1,2.5494451709255714,Рязанский проспект,European-style renovation
180.0,4.0,34.0,57,9.0,0.5964912280701754,0,0,0,5.198497031265826,Аэропорт,Designer
158.2,4.0,27.0,30,11.0,0.9,0,0,0,5.0701612734102826,Новаторская,Designer
44.7,2.0,1.0,9,13.0,0.1111111111111111,1,0,0,3.822098297900159,Бескудниково,European-style renovation
39.1,1.0,8.0,12,24.0,0.6666666666666666,0,0,0,3.691376334312523,Отрадное,European-style renovation
101.0,4.0,15.0,29,20.0,0.5172413793103449,0,0,0,4.624972813284271,Автозаводская,European-style renovation
60.9,2.0,9.0,17,16.0,0.5294117647058824,0,0,0,4.12552017969055,Давыдково,European-style renovation
101.0,4.0,4.0,6,5.0,0.6666666666666666,0,0,0,4.624972813284271,Новослободская,Cosmetic
24.8,0.0,2.0,4,12.0,0.5,0,0,1,3.250374491927572,Преображенская площадь,Designer
49.8,0.0,3.0,26,7.0,0.1153846153846153,0,0,1,3.927896354584436,Водный стадион,Without renovation
118.0,3.0,3.0,22,8.0,0.1363636363636363,0,0,0,4.77912349311153,Площадь Гагарина,European-style renovation
135.0,3.0,4.0,8,7.0,0.5,0,0,0,4.912654885736052,Кропоткинская,Designer
93.0,3.0,6.0,7,17.0,0.8571428571428571,0,0,0,4.543294782270004,Электрозаводская,Without renovation
98.0,4.0,1.0,5,15.0,0.2,1,0,0,4.59511985013459,Гражданская,Cosmetic
226.0,4.0,15.0,57,10.0,0.2631578947368421,0,0,0,5.424950017481403,Сокол,European-style renovation
64.9,3.0,8.0,14,9.0,0.5714285714285714,0,0,0,4.188138441508461,Ростокино,Without renovation
61.6,4.0,1.0,4,9.0,0.25,1,0,0,4.136765278106052,Менделеевская,Without renovation
177.0,4.0,2.0,10,9.0,0.2,0,0,0,5.181783550292085,Курская,Designer
82.2,3.0,8.0,8,13.0,1.0,0,1,0,4.421247347827163,Верхние Котлы,Cosmetic
77.4,3.0,9.0,35,4.0,0.2571428571428571,0,0,0,4.361823927356363,Беломорская,European-style renovation
38.0,1.0,9.0,12,8.0,0.75,0,0,0,3.6635616461296463,Улица Скобелевская,Without renovation
140.1,3.0,10.0,11,6.0,0.9090909090909092,0,0,0,4.9494688588587685,Курская,Designer
33.72,6.0,6.0,19,7.0,0.3157894736842105,0,0,0,3.547315889792149,Красные ворота,European-style renovation
40.4,1.0,21.0,23,14.0,0.9130434782608696,0,0,0,3.7232808808312687,Бабушкинская,Cosmetic
35.5,1.0,20.0,25,22.0,0.8,0,0,0,3.597312260588446,Октябрьское поле,Without renovation
53.8,2.0,2.0,17,7.0,0.1176470588235294,0,0,0,4.00369019395397,Борисово,European-style renovation
80.4,3.0,4.0,9,6.0,0.4444444444444444,0,0,0,4.399375273008495,Сокол,European-style renovation
317.7,5.0,5.0,5,43.0,1.0,0,1,0,5.764250221423291,Тушинская,Designer
233.3,4.0,6.0,8,11.0,0.75,0,0,0,5.45660234551375,Кропоткинская,Designer
