Price,Metro station,Minutes to metro,Number of rooms,Area,Floor,Number of floors,Renovation
108800000.0,Чеховская,5.0,3.0,108.8,3.0,3,Without renovation
53000000.0,Арбатская,9.0,3.0,96.9,2.0,5,Without renovation
44240000.0,Фили,6.0,3.0,63.2,40.0,41,Designer
105000000.0,Белорусская,6.0,3.0,145.0,3.0,6,Designer
47000000.0,Белорусская,9.0,3.0,103.8,6.0,6,Without renovation
67990000.0,Белорусская,6.0,3.0,111.0,5.0,6,Designer
170000000.0,Кропоткинская,10.0,3.0,117.0,3.0,5,European-style renovation
224900000.0,Спортивная,9.0,3.0,237.2,14.0,14,Designer
52500000.0,Алексеевская,11.0,3.0,92.0,4.0,21,Cosmetic
38000000.0,Ростокино,13.0,3.0,109.0,35.0,58,Designer
95700000.0,Китай-город,11.0,3.0,86.0,2.0,9,Designer
22450000.0,ВДНХ,7.0,3.0,83.5,16.0,22,Without renovation
67000000.0,Динамо,1.0,3.0,104.0,3.0,15,Designer
17500000.0,Филатов Луг,10.0,3.0,77.1,22.0,25,Without renovation
41500000.0,Раменки,5.0,3.0,106.7,15.0,17,Cosmetic
46000000.0,Минская,28.0,3.0,70.0,2.0,14,Without renovation
179000000.0,Спортивная,11.0,3.0,141.0,3.0,15,Designer
222000000.0,Спортивная,8.0,3.0,237.0,14.0,14,Designer
39900000.0,Аминьевская,8.0,3.0,84.9,18.0,31,Designer
39000000.0,Динамо,7.0,3.0,75.7,7.0,17,Designer
51000000.0,Давыдково,5.0,3.0,112.3,16.0,25,Designer
145000000.0,Спортивная,5.0,3.0,97.0,7.0,18,Designer
86000000.0,Фрунзенская,5.0,3.0,97.0,5.0,14,Designer
100000000.0,Улица 1905 года,7.0,3.0,95.0,11.0,21,Designer
33999000.0,Кунцевская,4.0,3.0,95.5,29.0,29,Without renovation
36000000.0,Шелепиха,13.0,3.0,77.0,4.0,6,Designer
42700000.0,Молодежная,6.0,3.0,110.0,36.0,40,Designer
100000000.0,Беговая,5.0,3.0,90.53,10.0,21,European-style renovation
115000000.0,Минская,13.0,3.0,121.0,16.0,39,Designer
24500000.0,Бауманская,8.0,3.0,68.5,4.0,6,Cosmetic
26000000.0,Славянский бульвар,14.0,3.0,62.5,3.0,12,Designer
56650000.0,Динамо,17.0,3.0,82.2,37.0,41,Without renovation
72000000.0,Динамо,15.0,3.0,91.4,10.0,41,Designer
115000000.0,Новокузнецкая,16.0,3.0,95.7,3.0,7,Designer
115732500.0,Спортивная,6.0,3.0,118.7,3.0,5,Without renovation
195000000.0,Парк культуры,5.0,3.0,128.0,3.0,6,Designer
290000000.0,Смоленская,13.0,3.0,151.0,2.0,7,Designer
37500000.0,Шелепиха,13.0,3.0,73.0,12.0,30,Designer
99600000.0,Спортивная,9.0,3.0,83.0,7.0,13,European-style renovation
99600000.0,Спортивная,8.0,3.0,83.0,7.0,13,Designer
44000000.0,Давыдково,17.0,3.0,87.0,15.0,22,Without renovation
170000000.0,Спортивная,10.0,3.0,169.0,4.0,6,Without renovation
250000000.0,Спортивная,8.0,3.0,137.0,9.0,15,Designer
49899998.0,Пушкинская,7.0,3.0,75.0,1.0,7,Designer
55600000.0,Комсомольская,10.0,3.0,79.9,2.0,2,Designer
99000000.0,Серпуховская,9.0,3.0,120.0,2.0,14,Designer
131000000.0,Беговая,5.0,3.0,114.0,7.0,21,European-style renovation
238840000.0,Трубная,5.0,3.0,140.0,2.0,4,Designer
48000000.0,Народное Ополчение,9.0,3.0,82.5,31.0,53,Designer
40500000.0,Народное Ополчение,10.0,3.0,106.1,48.0,58,Without renovation
43500000.0,Народное Ополчение,10.0,3.0,105.6,11.0,53,Without renovation
120000000.0,Киевская,15.0,3.0,100.0,6.0,7,European-style renovation
144170000.0,Фрунзенская,5.0,3.0,111.0,6.0,8,Cosmetic
148070000.0,Спортивная,7.0,3.0,113.9,6.0,12,Without renovation
175000000.0,Пушкинская,6.0,3.0,188.5,3.0,4,Designer
27300000.0,Технопарк,14.0,3.0,90.0,3.0,9,Without renovation
33800000.0,Преображенская площадь,7.0,3.0,90.8,2.0,30,Cosmetic
45000000.0,Павелецкая,17.0,3.0,81.6,13.0,28,Without renovation
59850000.0,Строгино,8.0,3.0,126.0,3.0,29,European-style renovation
41000000.0,Красные ворота,10.0,3.0,94.1,4.0,5,Designer
43000000.0,Народное Ополчение,10.0,3.0,118.6,9.0,48,Without renovation
53000000.0,Тверская,7.0,3.0,93.8,4.0,14,European-style renovation
55000000.0,Петровский парк,16.0,3.0,91.0,13.0,41,Without renovation
